minute,arrival_HBW,arrival_HBE,arrival_HBA,arrival_HBS,arrival_HBR,arrival_HBO,arrival_NHBW,arrival_NHBO,duration_HBW,duration_HBE,duration_HBA,duration_HBS,duration_HBR,duration_HBO
873,0.000331384275482717,7.15874217110075e-05,0.00119931411329311,0.00137521197738435,0.00112435416021874,0.00128946529501483,0.00138833634433303,0.00172595146931681,6.58391533595705e-05,6.20423922143931e-06,3.52301326871365e-06,9.0952109796181e-07,3.30433369799392e-05,5.77523579552495e-06
874,0.000328952795547645,6.90694800225145e-05,0.00120394634170695,0.00137017318654372,0.00112043959982942,0.00128687018435641,0.0013881857581351,0.00172702521688787,6.48659496662538e-05,6.28841240189305e-06,3.5288257435122e-06,9.22854685819334e-07,3.29544120333894e-05,5.7034952965036e-06
875,0.00032658600085357,6.64935915066382e-05,0.00120852187554687,0.00136505365727279,0.0011165343499389,0.0012842233228432,0.00138805073349775,0.00172808711959802,6.39105958835853e-05,6.36591437553138e-06,3.54010314479897e-06,9.35829774691263e-07,3.28633272619244e-05,5.62617053768897e-06
876,0.000324279974269854,6.39647699376804e-05,0.00121303886341791,0.00135985438941363,0.00111263932885783,0.0012815248727316,0.00138793171138268,0.00172913526195635,6.29725981021324e-05,6.4355260328692e-06,3.55659870587489e-06,9.48252965010467e-07,3.27696713519774e-05,5.54334806927159e-06
877,0.000322032263300666,6.16128716379949e-05,0.00121749547823615,0.0013545764615198,0.00110875608549997,0.00127877503573818,0.00138782911661797,0.0017301677166225,6.20525065399356e-05,6.49408833252848e-06,3.57795102187593e-06,9.59868699681039e-07,3.26735324714799e-05,5.4548063111073e-06
878,0.000319848538650895,5.95174046043127e-05,0.00122188991859484,0.00134922102872279,0.00110488508811902,0.00127597105694427,0.00138774335785737,0.00173118254609418,6.11500877960265e-05,6.54207577812616e-06,3.60243531875276e-06,9.70357838110143e-07,3.25748924338815e-05,5.36033101439202e-06
879,0.00031771744765827,5.77442992713314e-05,0.00122622041011364,0.00134378932051654,0.00110102721487597,0.00127311586300981,0.0013876748275492,0.00173217780441677,6.02635071013051e-05,6.57848132485419e-06,3.62895840805492e-06,9.79647233963313e-07,3.24736703063421e-05,5.26074930457382e-06
880,0.000315635369790711,5.64294253794553e-05,0.00123048520676953,0.00133828263846403,0.00109718340923903,0.00127021016205569,0.00138762390191422,0.00173315153891359,5.93923249756924e-05,6.60007135333217e-06,3.65600770458758e-06,9.87534467811315e-07,3.23696391248787e-05,5.15626521420733e-06
881,0.000313599366312904,5.55329711234849e-05,0.00123468259220758,0.00133269947718032,0.00109335461968037,0.00126725431216222,0.00138759094093191,0.00173409988880115,5.85361141983275e-05,6.60777551862122e-06,3.68196242202431e-06,9.93586448150971e-07,3.22626259231863e-05,5.04659274347749e-06
882,0.000311612779296658,5.50877597144826e-05,0.00123881088103035,0.00132704001517304,0.00108954179925735,0.00126424870669718,0.00138757628833469,0.001735022405672,5.76956024164896e-05,6.60123525511114e-06,3.70512499043968e-06,9.97911914598493e-07,3.21528503438971e-05,4.93236379007989e-06
883,0.000309664999257782,5.51240033513012e-05,0.00124286842006426,0.00132131017860943,0.00108574590518864,0.00126119377343695,0.00138758027160942,0.00173591723021372,5.68700788150727e-05,6.57764002442219e-06,3.72359973613767e-06,1.00038642488555e-06,3.20402842089431e-05,4.81416281294786e-06
884,0.000307752931901483,5.55425881366241e-05,0.0012468535896014,0.00131551154782279,0.00108196789842548,0.00125808997366526,0.00138760320200566,0.00173678240104359,5.60582217175639e-05,6.53812247738887e-06,3.73652057459172e-06,1.00054662596833e-06,3.19249120283794e-05,4.69231481033158e-06
885,0.000305874055645248,5.63246811380511e-05,0.00125076480461553,0.0013096457619152,0.00107820874321895,0.00125493780125072,0.00138764537455011,0.00173761595941722,5.52596558982498e-05,6.48317159599157e-06,3.7421319206237e-06,9.98601924084926e-07,3.18063157693795e-05,4.56674899565711e-06
886,0.000304028910088704,5.73995402040629e-05,0.0012546005159506,0.00130371451607547,0.00107446940668344,0.00125173778170455,0.00138770706806671,0.0017384159510454,5.44740178440026e-05,6.4107704878557e-06,3.73916618557955e-06,9.94528296209963e-07,3.16849062616018e-05,4.43847202934637e-06
